type,id,in_reply_to_status_id,text,favorite_count,retweet_count,label_a,label_b
source,529660296080916480,0,Prince is playing a secret show in Toronto tonight. I will also be playing a secret show tonight involving pizza &amp; netflix bingeing.,47,11,0,0
reply,529661510369284096,529660296080916480,"$MENTION$ EXCUSE ME, WHERE'S MY INVITE (to the latter, duh)",3,0,3,
reply,529661727940431872,529661510369284096,$MENTION$ $MENTION$ gonna try to make it to both.,3,0,3,
reply,529661317087768576,529660296080916480,$MENTION$ you should send Prince a set of tennis balls for the legs of his walker. Easier to slide across stage.,0,0,3,
reply,529666750330449920,529661317087768576,"$MENTION$ Girl, don't be mean. Age ain't nothing but a number.",1,0,3,
source,529653029747064832,0,Prince fans lining up at Massey Hall. Wristbands for surprise show reportedly on sale at $NUMBER$pm. $HASHTAG$ $URL$,7,12,0,0
reply,529656160736251904,529653029747064832,$MENTION$ $MENTION$,0,0,3,
reply,529751327174586370,529677185171607553,$MENTION$ $MENTION$ haha!!!! keep your ears open and let me know if you hear anything... i'll do the same!!! $URL$,0,0,3,
reply,529670625229422593,529656160736251904,$MENTION$ $MENTION$ $MENTION$ wtf?!?!?!?!,0,0,3,
reply,529697018575585280,529653029747064832,$MENTION$ prince is god,0,0,3,
reply,529677185171607553,529670625229422593,$MENTION$ $MENTION$: I'm crying as well... Don't you worry!,0,0,2,
reply,529880720458911745,529751327174586370,$MENTION$: I'm crying purple tears...,0,0,3,
source,529687410611728384,0,Is it true? Prince rumoured to be performing surprise show in Toronto $URL$,8,7,3,0
reply,529690572630798338,529687410611728384,$MENTION$ $MENTION$ a suprise concert on Vancouver would be cool $HASHTAG$,1,0,0,
reply,529687957377413120,529687410611728384,$MENTION$ hope not,0,0,3,
reply,529690952563433472,529687410611728384,$MENTION$ I am in a line up. It is going down Victoria Street to Queen.,0,0,3,
reply,529689606649020418,529687410611728384,"$MENTION$ Do you mean the artist formerly known as ""Strange Symbol""?",0,0,3,
reply,529689031571808256,529687410611728384,"$MENTION$ yep, don't as me how I know, but yep",0,0,0,
source,529713467184676864,0,Secret Prince show rumored for Toronto tonight $URL$,37,31,0,0
reply,529715169942065152,529713467184676864,“$MENTION$: Secret Prince show rumored for Toronto tonight $URL$ Wishing this was NYC $MENTION$,0,0,0,
reply,529714660690644992,529713467184676864,“$MENTION$: Secret Prince show rumored for Toronto tonight $URL$ why does no one ever do secret shows in Ohio? $EMOJI$,0,0,0,
reply,529714853955399680,529713467184676864,“$MENTION$: Secret Prince show rumored for Toronto tonight $URL$ $MENTION$,0,0,0,
reply,529739950993203201,529736871707152385,$MENTION$ noooooo!,0,0,3,
reply,529736871707152385,529714853955399680,$MENTION$ I think it sold out in minus $NUMBER$ minutes.,0,0,2,
source,529689679411810304,0,People talking about stupid shit like government corruption and harassment when Prince is in Toronto smh,5,3,0,0
reply,529689790254698496,529689679411810304,$MENTION$ LOOOOOOOOOOOOOOOOOOOL,1,1,3,
reply,529690091221180416,529689679411810304,$MENTION$ *holds boom box to air and gets emosh with benji* PURPLE RAIN PURPLE RAINBNNN *insert hard electric guitar here*,1,1,2,
reply,529693591132983297,529690091221180416,$MENTION$ we should be at this concert,1,0,3,
reply,529694204361203713,529693591132983297,$MENTION$ tell me we wouldn't show up in the tightest clothes and cry while still being the hardest niggas at a prince concert,1,0,3,
reply,529695331387461632,529694204361203713,$MENTION$ that's the only concert we could wear heels and still be hard af,1,0,3,
source,529716453792956416,0,Is $HASHTAG$ in $HASHTAG$? Rumours fly of surprise show... $MENTION$ $URL$,1,2,3,0
reply,529797259362177024,529716453792956416,$MENTION$ any help with this event even raffle prizes are much appreciated,0,0,3,
reply,529797166739378177,529716453792956416,$MENTION$ $MENTION$ holding suicide prevention event and fundraiser for funeral costs for my cousin who passed on sun,0,0,3,
source,529695367680761856,0,OMG. $HASHTAG$ rumoured to be performing in Toronto today. Exciting!,9,12,0,0
reply,529698240405729281,529697981751373824,$MENTION$ $MENTION$ That's insane! I love Prince but there's no way I can get babysitting so last minute $SMILEY$,1,0,3,
reply,529695704982491137,529695367680761856,"$MENTION$ I saw Prince in concert $NUMBER$ years ago in halifax and honestly, was the most boring concert ever! Was so disappointed",1,0,2,
reply,529695587390980097,529695367680761856,$MENTION$ Yes indeed !,1,1,3,
